1,Алексей Иванов,1,1,t
2,Мария Петрова,2,1,f
3,Дмитрий Сидоров,3,1,f
4,Елена Смирнова,2,1,f
5,Ольга Кузнецова,1,2,t
6,Иван Васильев,4,2,f
7,Светлана Михайлова,5,2,f
8,Павел Новиков,2,2,f
9,Татьяна Федорова,1,3,t
10,Сергей Морозов,3,3,f
11,Анна Волкова,6,3,f
12,Николай Павлов,4,3,f
13,Юлия Соколова,2,1,f
14,Максим Лебедев,3,2,f
15,Наталья Козлова,5,3,f
16,Владимир Егоров,1,4,t
17,Ирина Макарова,2,4,f
18,Андрей Орлов,4,4,f
19,Ксения Тихонова,3,4,f
20,Денис Захаров,6,4,f
21,Андрей Степанов,6,8,f
22,Виктор Кузнецов,6,8,f
23,Сергей Федоров,5,8,t
24,Михаил Никитин,6,9,f
25,Александр Морозов,6,9,f
26,Дмитрий Козлов,5,9,t
27,Роман Соколов,8,10,f
28,Евгений Петров,8,10,f
29,Игорь Васильев,6,10,f
30,Николай Сидоров,5,10,t
31,Олег Ильин,4,11,f
32,Владислав Тихонов,6,11,f
33,Анатолий Савельев,5,11,t
34,Валентин Гришин,3,12,t
35,Артем Калинин,4,12,f
36,Станислав Устинов,8,13,t
37,Константин Никонов,7,13,f
38,Григорий Фролов,4,13,f
39,Борис Ермаков,7,14,t
40,Петр Данилов,7,14,f
41,Леонид Яковлев,8,14,f
42,Наталья Крылова,10,15,t
43,Екатерина Максимова,10,15,f
44,Алина Белова,10,16,t
45,Дарья Сорокина,10,16,f
46,Иван Киселев,9,18,t
47,Антон Гусев,9,18,f
48,Сергей Фомин,9,19,t
49,Павел Щербаков,9,19,f
50,Артур Беляев,15,17,f
51,Оксана Власова,13,23,f
52,Тамара Королева,12,20,f
53,Светлана Гаврилова,11,21,f
54,Вера Филиппова,11,21,f
55,Людмила Комарова,14,22,t
